school_abbrev, quarter, goal
KAP,    Q1,     98
KAP,    Q2,     98
KAP,    Q3,     96
KAP,    Q4,     96.51
KAP,    YTD,    98
KAMS,   Q1,     98
KAMS,   Q2,     98
KAMS,   Q3,     94.9
KAMS,   Q4,     96.3
KAMS,   YTD,    98
KBP,    Q1,     98
KBP,    Q2,     98
KBP,    Q3,     96.3
KBP,    Q4,     96.35
KBP,    YTD,    98
KBCP,   Q1,     98
KBCP,   Q2,     98
KBCP,   Q3,     95.7
KBCP,   Q4,     96.4
KBCP,   YTD,    98
KACP,    Q1,     98
KACP,    Q2,     98
KACP,    Q3,     94.3
KACP,    Q4,     96.6
KACP,    YTD,    98
KAC,    Q1,     98
KAC,    Q2,     98
KAC,    Q3,     94.3
KAC,    Q4,     96.6
KAC,    YTD,    98
KOP,    Q1,     98
KOP,    Q2,     98
KOP,    Q3,     96
KOP,    Q4,     96.39
KOP,    YTD,    98
KOA,    Q1,     98
KOA,    Q2,     98
KOA,    Q3,     93
KOA,    Q4,     93.7
KOA,    YTD,    98